masse_A
t;x;y
1,202393333E1;-2,065039196E-2;1,824988904E-2
1,204058889E1;-2,068495129E-2;1,824773476E-2
1,205725556E1;-2,069724260E-2;1,824389220E-2
1,207393333E1;-2,069737212E-2;1,824805033E-2
1,209058889E1;-2,069760303E-2;1,825214582E-2
1,210724444E1;-2,069915192E-2;1,825193452E-2
1,212391111E1;-2,069920636E-2;1,825312113E-2
1,214057778E1;-2,069992075E-2;1,825232386E-2
1,215723333E1;-2,071399750E-2;1,823155982E-2
1,217388889E1;-2,079116243E-2;1,825020308E-2
1,219055556E1;-2,077843371E-2;1,825136361E-2
1,220722222E1;-2,122818922E-2;1,793586447E-2
1,222388889E1;-2,144981842E-2;1,775234782E-2
1,224054444E1;-2,142709365E-2;1,782656902E-2
1,225720000E1;-2,143974493E-2;1,782045795E-2
1,227390000E1;-2,151489059E-2;1,787485409E-2
1,229053333E1;-2,154148024E-2;1,783021637E-2
1,230720000E1;-2,144548107E-2;1,782477115E-2
1,232386667E1;-2,151924394E-2;1,784285657E-2
1,234052222E1;-2,153919684E-2;1,784189401E-2
1,235720000E1;-2,149289627E-2;1,785456297E-2
1,237386667E1;-2,154017865E-2;1,784147908E-2
1,239052222E1;-2,152644109E-2;1,787297506E-2
1,240717778E1;-2,153827714E-2;1,784339576E-2
1,242384444E1;-2,155006900E-2;1,783761068E-2
1,244050000E1;-2,153717349E-2;1,783623857E-2
1,245715556E1;-2,154819236E-2;1,783579089E-2
1,247383333E1;-2,153841922E-2;1,784119642E-2
1,249047778E1;-2,154045252E-2;1,783952140E-2
1,250714444E1;-2,154031546E-2;1,783720536E-2
1,252381111E1;-2,154123815E-2;1,783776180E-2
1,254047778E1;-2,154107645E-2;1,783510399E-2
1,255713333E1;-2,154100271E-2;1,783465988E-2
1,257378889E1;-2,154326845E-2;1,783523487E-2
1,259045556E1;-2,154312500E-2;1,783621504E-2
1,260713333E1;-2,154158763E-2;1,783485985E-2
1,262378889E1;-2,154834664E-2;1,783529027E-2
1,264045556E1;-2,154476977E-2;1,783431387E-2
1,265711111E1;-2,154246944E-2;1,783411752E-2
1,267378889E1;-2,154233673E-2;1,783525654E-2
1,269043333E1;-2,154284664E-2;1,783835317E-2
1,270708889E1;-2,154134709E-2;1,783768295E-2
1,272376667E1;-2,154125987E-2;1,783716871E-2
1,274042222E1;-2,153759182E-2;1,790161001E-2
1,275710000E1;-2,136751244E-2;1,791468535E-2
1,277375556E1;-2,154525046E-2;1,784399924E-2
1,279041111E1;-2,154402295E-2;1,788231944E-2
1,280707778E1;-2,143367473E-2;1,792202780E-2
1,282376667E1;-2,152515362E-2;1,793011531E-2
1,284040000E1;-2,149235157E-2;1,793842923E-2
1,285705556E1;-2,154462622E-2;1,792890376E-2
1,287373333E1;-2,154220882E-2;1,793439525E-2
1,289038889E1;-2,147637281E-2;1,793359211E-2
1,290705556E1;-2,153147617E-2;1,794244874E-2
1,292373333E1;-2,154227661E-2;1,793758879E-2
1,294037778E1;-2,153699867E-2;1,793790255E-2
1,295703333E1;-2,153862904E-2;1,793784242E-2
1,297371111E1;-2,153075961E-2;1,794383381E-2
1,299036667E1;-2,154413311E-2;1,793662347E-2
1,300703333E1;-2,154858091E-2;1,793851031E-2
1,302373333E1;-2,153962056E-2;1,793795297E-2
1,304034444E1;-2,154067573E-2;1,793951421E-2
1,305701111E1;-2,154127089E-2;1,793884780E-2
1,307367778E1;-2,154459628E-2;1,794063139E-2
1,309033333E1;-2,154128670E-2;1,794052283E-2
1,310701111E1;-2,154092709E-2;1,794077545E-2
1,312366667E1;-2,154079236E-2;1,794049698E-2
1,314033333E1;-2,154022855E-2;1,793923282E-2
1,315698889E1;-2,154350284E-2;1,793693824E-2
1,317364444E1;-2,154372573E-2;1,794096778E-2
1,319031111E1;-2,154267192E-2;1,793998935E-2
1,320697778E1;-2,154962434E-2;1,793567676E-2
1,322364444E1;-2,153807455E-2;1,794225925E-2
1,324030000E1;-2,154329603E-2;1,793897169E-2
1,325696667E1;-2,154825013E-2;1,793627252E-2
1,327363333E1;-2,154123995E-2;1,794441963E-2
1,329027778E1;-2,154012170E-2;1,793909375E-2
1,330703333E1;-2,153961904E-2;1,793860145E-2
1,332362222E1;-2,153954981E-2;1,794055231E-2
1,334027778E1;-2,154001034E-2;1,794091494E-2
1,335694444E1;-2,153924237E-2;1,794027071E-2
1,337360000E1;-2,153897396E-2;1,794034658E-2
1,339026667E1;-2,154044331E-2;1,793865248E-2
1,340692222E1;-2,163701991E-2;1,793145240E-2
1,342360000E1;-2,192618302E-2;1,774071857E-2
1,344025556E1;-2,205924607E-2;1,760553777E-2
1,345691111E1;-2,206466902E-2;1,752536692E-2
1,347356667E1;-2,209523032E-2;1,750643470E-2
1,349024444E1;-2,217220850E-2;1,750600748E-2
1,350691111E1;-2,216618050E-2;1,752035330E-2
1,352357778E1;-2,206868602E-2;1,752387272E-2
1,354023333E1;-2,209550416E-2;1,751534740E-2
1,355690000E1;-2,213867620E-2;1,752620506E-2
1,357355556E1;-2,215955032E-2;1,752488554E-2
1,359021111E1;-2,216081748E-2;1,752256640E-2
1,360688889E1;-2,214965036E-2;1,753841206E-2
1,362354444E1;-2,216285290E-2;1,752766317E-2
1,364020000E1;-2,216855474E-2;1,752384171E-2
1,365685556E1;-2,215623011E-2;1,753803158E-2
1,367354444E1;-2,216094891E-2;1,753568617E-2
1,369020000E1;-2,217115323E-2;1,753182965E-2
1,370685556E1;-2,216729239E-2;1,752809775E-2
1,372352222E1;-2,216567078E-2;1,752944482E-2
1,374017778E1;-2,216689646E-2;1,753215315E-2
1,375683333E1;-2,216532276E-2;1,753159151E-2
1,377352222E1;-2,216816973E-2;1,753282098E-2
1,379017778E1;-2,216958543E-2;1,753505181E-2
1,380685556E1;-2,217066045E-2;1,752569181E-2
1,382350000E1;-2,217110529E-2;1,753003894E-2
1,384015556E1;-2,216802239E-2;1,752967134E-2
1,385683333E1;-2,217390489E-2;1,752572999E-2
1,387347778E1;-2,216601826E-2;1,753275077E-2
1,389014444E1;-2,216660740E-2;1,753262377E-2
1,390681111E1;-2,235826324E-2;1,740611393E-2
