masse_A
t;x;y
9,353200000E0;-2,292940910E-2;4,672712651E-3
9,369855556E0;-2,291748453E-2;4,675827165E-3
9,386533333E0;-2,288554566E-2;4,694466727E-3
9,403200000E0;-2,289198313E-2;4,688429191E-3
9,419844444E0;-2,289165516E-2;4,699680457E-3
9,436511111E0;-2,290505441E-2;4,687718317E-3
9,453177778E0;-2,290359690E-2;4,687025577E-3
9,469844444E0;-2,288362041E-2;4,719877677E-3
9,486500000E0;-2,288080780E-2;4,718492580E-3
9,503155556E0;-2,286658455E-2;4,719078446E-3
9,519833333E0;-2,285236492E-2;4,718870857E-3
9,536477778E0;-2,292101623E-2;4,731112300E-3
9,553144444E0;-2,291760589E-2;4,753663467E-3
9,569822222E0;-2,289989788E-2;4,779664811E-3
9,586477778E0;-2,289443460E-2;4,848574709E-3
9,603133333E0;-2,289527659E-2;4,863677088E-3
9,619811111E0;-2,289734402E-2;4,866153590E-3
9,636477778E0;-2,289131464E-2;4,872763526E-3
9,653122222E0;-2,289739098E-2;4,879572101E-3
9,669788889E0;-2,289376198E-2;4,879557745E-3
9,686466667E0;-2,289136396E-2;4,883756896E-3
9,703155556E0;-2,288504650E-2;4,886129908E-3
9,719766667E0;-2,287910504E-2;4,894078644E-3
9,736433333E0;-2,288862527E-2;4,886946771E-3
9,753111111E0;-2,289500254E-2;4,883994321E-3
9,769766667E0;-2,289216311E-2;4,885532001E-3
9,786433333E0;-2,289347164E-2;4,887732802E-3
9,803088889E0;-2,289146080E-2;4,901605110E-3
9,819755556E0;-2,288904626E-2;4,896625645E-3
9,836411111E0;-2,289539077E-2;4,889957616E-3
9,853077778E0;-2,289501395E-2;4,884580138E-3
9,869733333E0;-2,289597971E-2;4,884713882E-3
9,886422222E0;-2,289295787E-2;4,886046749E-3
9,903066667E0;-2,289251751E-2;4,892123335E-3
9,919722222E0;-2,288593814E-2;4,894074278E-3
9,936400000E0;-2,287775834E-2;4,911311110E-3
9,953055556E0;-2,287991413E-2;4,904106881E-3
9,969711111E0;-2,288360944E-2;4,897554921E-3
9,986377778E0;-2,288428965E-2;4,896592133E-3
1,000303333E1;-2,288300380E-2;4,894898523E-3
1,001970000E1;-2,288640959E-2;4,892043119E-3
1,003636667E1;-2,288929520E-2;4,889227665E-3
1,005303333E1;-2,287747228E-2;4,900430937E-3
1,006968889E1;-2,288495988E-2;4,895206850E-3
1,008635556E1;-2,287504511E-2;4,907071378E-3
1,010302222E1;-2,288370189E-2;4,896291178E-3
1,011968889E1;-2,270360138E-2;5,110259430E-3
1,013634444E1;-2,260015886E-2;5,310413073E-3
1,015300000E1;-2,265844567E-2;5,302017589E-3
1,016966667E1;-2,259236775E-2;5,383918087E-3
1,018632222E1;-2,247696992E-2;5,317021646E-3
1,020300000E1;-2,254392571E-2;5,316990545E-3
1,021965556E1;-2,248961662E-2;5,311752079E-3
1,023631111E1;-2,265196580E-2;5,409228916E-3
1,025297778E1;-2,265277688E-2;5,411481306E-3
1,026964444E1;-2,266385680E-2;5,403322172E-3
1,028630000E1;-2,266568547E-2;5,404548722E-3
1,030297778E1;-2,266318751E-2;5,405804764E-3
1,031962222E1;-2,264471678E-2;5,424033372E-3
1,033630000E1;-2,265355300E-2;5,426557720E-3
1,035296667E1;-2,264889130E-2;5,426751271E-3
1,036962222E1;-2,266029100E-2;5,421317659E-3
1,038628889E1;-2,266825122E-2;5,417750657E-3
1,040294444E1;-2,263941759E-2;5,426380728E-3
1,041960000E1;-2,259296955E-2;5,422582494E-3
1,043626667E1;-2,260494798E-2;5,415324208E-3
1,045293333E1;-2,256131548E-2;5,423329246E-3
1,046960000E1;-2,256178832E-2;5,419099558E-3
1,048626667E1;-2,253584775E-2;5,424343203E-3
1,050292222E1;-2,254925870E-2;5,420317040E-3
1,051957778E1;-2,255345246E-2;5,418349806E-3
1,053625556E1;-2,254337452E-2;5,419862094E-3
1,055290000E1;-2,253948344E-2;5,422084466E-3
1,056957778E1;-2,250150045E-2;5,413462634E-3
1,058623333E1;-2,247338840E-2;5,414009617E-3
1,060288889E1;-2,244577916E-2;5,418362449E-3
1,061955556E1;-2,244065591E-2;5,419054248E-3
1,063623333E1;-2,240175705E-2;5,409125147E-3
1,065288889E1;-2,239544031E-2;5,409353171E-3
1,066957778E1;-2,240015011E-2;5,407357781E-3
1,068621111E1;-2,239633937E-2;5,407276495E-3
1,070286667E1;-2,238368763E-2;5,408922345E-3
1,071953333E1;-2,239831464E-2;5,406288374E-3
1,073620000E1;-2,239504246E-2;5,407208068E-3
1,075285556E1;-2,236727617E-2;5,411818398E-3
1,076951111E1;-2,229814367E-2;5,513462742E-3
1,078623333E1;-2,229531177E-2;5,512225988E-3
1,080285556E1;-2,249547174E-2;5,611625648E-3
1,081950000E1;-2,253590491E-2;5,618534371E-3
1,083616667E1;-2,250186963E-2;5,614729521E-3
1,085284444E1;-2,247228448E-2;5,619959730E-3
1,086948889E1;-2,248434513E-2;5,617513287E-3
1,088617778E1;-2,242493202E-2;5,628665310E-3
1,090282222E1;-2,243655433E-2;5,625766150E-3
1,091948889E1;-2,246213738E-2;5,620939245E-3
1,093614444E1;-2,245751489E-2;5,626144942E-3
1,095281111E1;-2,244724250E-2;5,644399999E-3
1,096946667E1;-2,243699779E-2;5,651463414E-3
1,098613333E1;-2,243657916E-2;5,658190932E-3
1,100278889E1;-2,236050153E-2;5,813853837E-3
1,101945556E1;-2,230248690E-2;5,834657550E-3
1,103612222E1;-2,227000061E-2;5,838637070E-3
1,105277778E1;-2,229322705E-2;5,828493778E-3
1,106944444E1;-2,225607012E-2;5,841860321E-3
1,108611111E1;-2,227001649E-2;5,842595075E-3
1,110277778E1;-2,226278876E-2;5,864164490E-3
1,111943333E1;-2,225303278E-2;5,854509420E-3
1,113608889E1;-2,225042105E-2;5,846516331E-3
1,115275556E1;-2,225095913E-2;5,840088632E-3
1,116942222E1;-2,224201063E-2;5,842433353E-3
1,118608889E1;-2,223960987E-2;5,849573137E-3
1,120273333E1;-2,223112964E-2;5,867348696E-3
1,121941111E1;-2,223579639E-2;5,855665081E-3
1,123608889E1;-2,221710444E-2;5,874306980E-3
1,125274444E1;-2,222326344E-2;5,860870630E-3
1,126938889E1;-2,226883372E-2;5,897795573E-3
1,128605556E1;-2,223756377E-2;5,937199234E-3
1,130272222E1;-2,224553440E-2;5,933970786E-3
1,131938889E1;-2,224120709E-2;5,940603640E-3
1,133604444E1;-2,224208004E-2;5,940953037E-3
1,135271111E1;-2,225133352E-2;5,937795190E-3
1,136937778E1;-2,224721014E-2;5,940211995E-3
1,138604444E1;-2,223428828E-2;5,952392440E-3
1,140268889E1;-2,223301678E-2;5,951370157E-3
1,141935556E1;-2,222823050E-2;5,952783625E-3
1,143603333E1;-2,224028144E-2;5,948508269E-3
1,145267778E1;-2,224268633E-2;5,948708457E-3
1,146934444E1;-2,224757881E-2;5,937053391E-3
1,148603333E1;-2,225956431E-2;5,929949117E-3
1,150267778E1;-2,225134108E-2;5,932493043E-3
1,151932222E1;-2,223555755E-2;5,944807608E-3
1,153600000E1;-2,221968127E-2;5,958405067E-3
1,155265556E1;-2,222901920E-2;5,951654402E-3
1,156931111E1;-2,224843629E-2;5,935523716E-3
1,158600000E1;-2,226645912E-2;5,923925965E-3
1,160264444E1;-2,225676054E-2;5,930190849E-3
1,161932222E1;-2,224139480E-2;5,941332817E-3
1,163597778E1;-2,223378924E-2;5,952044328E-3
1,165263333E1;-2,223550004E-2;5,950449925E-3
1,166930000E1;-2,224975991E-2;5,942303115E-3
1,168596667E1;-2,223135154E-2;5,953342770E-3
1,170261111E1;-2,222923087E-2;5,949439831E-3
1,171928889E1;-2,222903935E-2;5,947456451E-3
1,173595556E1;-2,223874053E-2;5,920562830E-3
1,175261111E1;-2,223083283E-2;5,888920120E-3
1,176926667E1;-2,222921593E-2;5,913883325E-3
1,178594444E1;-2,222484923E-2;5,944838022E-3
1,180260000E1;-2,223805206E-2;5,948299216E-3
1,181925556E1;-2,223327994E-2;5,947816348E-3
1,183593333E1;-2,223721007E-2;5,948405329E-3
1,185258889E1;-2,222445506E-2;5,958347051E-3
1,186924444E1;-2,222398742E-2;5,959308493E-3
1,188593333E1;-2,222523738E-2;5,961873468E-3
1,190257778E1;-2,223519251E-2;5,966180685E-3
1,191923333E1;-2,224022508E-2;5,966030983E-3
1,193591111E1;-2,223405718E-2;5,979231229E-3
1,195257778E1;-2,222322984E-2;6,021700838E-3
1,196922222E1;-2,223577870E-2;6,034332327E-3
1,198590000E1;-2,223592457E-2;6,030899557E-3
1,200255556E1;-2,223024847E-2;6,042212823E-3
