masse_A
t;x;y;frame
1,193928889E1;-1,705436798E2;3,746099160E2;7,150000000E2
1,195592222E1;-1,706548764E2;3,747994302E2;7,160000000E2
1,197258889E1;-1,706593112E2;3,747715925E2;7,170000000E2
1,198938889E1;-1,706730962E2;3,747302859E2;7,180000000E2
1,200591111E1;-1,706409844E2;3,746565876E2;7,190000000E2
1,202258889E1;-1,706621836E2;3,747220261E2;7,200000000E2
1,203924444E1;-1,707255118E2;3,746841955E2;7,210000000E2
1,205591111E1;-1,707464581E2;3,746778289E2;7,220000000E2
1,207256667E1;-1,707038482E2;3,746726724E2;7,230000000E2
1,208922222E1;-1,706772871E2;3,747762484E2;7,240000000E2
1,210588889E1;-1,705914769E2;3,746588179E2;7,250000000E2
1,212255556E1;-1,706129460E2;3,746301256E2;7,260000000E2
1,213921111E1;-1,706228577E2;3,746093194E2;7,270000000E2
1,215588889E1;-1,706298891E2;3,746203953E2;7,280000000E2
1,217254444E1;-1,705827454E2;3,745837675E2;7,290000000E2
1,218920000E1;-1,705533186E2;3,745577315E2;7,300000000E2
1,220586667E1;-1,705303561E2;3,745546892E2;7,310000000E2
1,222253333E1;-1,705166754E2;3,745468381E2;7,320000000E2
1,223918889E1;-1,705075904E2;3,745546285E2;7,330000000E2
1,225585556E1;-1,705204000E2;3,746151555E2;7,340000000E2
1,227252222E1;-1,705134833E2;3,746180524E2;7,350000000E2
1,228917778E1;-1,704977338E2;3,745715474E2;7,360000000E2
1,230584444E1;-1,704855208E2;3,746428205E2;7,370000000E2
1,232250000E1;-1,705106684E2;3,745788584E2;7,380000000E2
1,233916667E1;-1,705745365E2;3,745834639E2;7,390000000E2
1,235583333E1;-1,705458930E2;3,746033166E2;7,400000000E2
1,237251111E1;-1,705199720E2;3,745911422E2;7,410000000E2
1,238915556E1;-1,706212349E2;3,746101704E2;7,420000000E2
1,240581111E1;-1,706312936E2;3,746972024E2;7,430000000E2
1,242248889E1;-1,706457608E2;3,746372344E2;7,440000000E2
1,243914444E1;-1,706349125E2;3,746679766E2;7,450000000E2
1,245581111E1;-1,705973677E2;3,746660292E2;7,460000000E2
1,247246667E1;-1,706037346E2;3,745933230E2;7,470000000E2
1,248913333E1;-1,706720590E2;3,745853016E2;7,480000000E2
1,250578889E1;-1,706498588E2;3,747205992E2;7,490000000E2
1,252246667E1;-1,706326992E2;3,746285953E2;7,500000000E2
1,253911111E1;-1,705916568E2;3,745604061E2;7,510000000E2
1,255578889E1;-1,705384812E2;3,745425149E2;7,520000000E2
1,257244444E1;-1,705046290E2;3,745501042E2;7,530000000E2
1,258911111E1;-1,704894708E2;3,745288820E2;7,540000000E2
1,260578889E1;-1,704388414E2;3,745953565E2;7,550000000E2
1,262244444E1;-1,703565536E2;3,745560518E2;7,560000000E2
1,263908889E1;-1,703976003E2;3,745396547E2;7,570000000E2
1,265576667E1;-1,703656274E2;3,745527103E2;7,580000000E2
1,267241111E1;-1,703673626E2;3,745453484E2;7,590000000E2
1,268907778E1;-1,703680082E2;3,745320985E2;7,600000000E2
1,270574444E1;-1,702462286E2;3,745148538E2;7,610000000E2
1,272243333E1;-1,703178551E2;3,745731468E2;7,620000000E2
1,273907778E1;-1,703614254E2;3,745367381E2;7,630000000E2
1,275573333E1;-1,703922233E2;3,745503634E2;7,640000000E2
1,277240000E1;-1,704375730E2;3,745456313E2;7,650000000E2
1,278905556E1;-1,705000761E2;3,746172281E2;7,660000000E2
1,280572222E1;-1,705366671E2;3,746298714E2;7,670000000E2
1,282238889E1;-1,705875373E2;3,748241217E2;7,680000000E2
1,283904444E1;-1,705777545E2;3,746877078E2;7,690000000E2
1,285571111E1;-1,707100100E2;3,747535769E2;7,700000000E2
1,287237778E1;-1,706406124E2;3,746642916E2;7,710000000E2
1,288903333E1;-1,706332681E2;3,747061231E2;7,720000000E2
1,290568889E1;-1,706433519E2;3,746787237E2;7,730000000E2
1,292236667E1;-1,706679910E2;3,746097583E2;7,740000000E2
1,293901111E1;-1,706829197E2;3,746347928E2;7,750000000E2
1,295570000E1;-1,707144910E2;3,746652729E2;7,760000000E2
1,297234444E1;-1,706253442E2;3,746484343E2;7,770000000E2
1,298901111E1;-1,705825829E2;3,746131474E2;7,780000000E2
1,300567778E1;-1,706014847E2;3,746280546E2;7,790000000E2
1,302233333E1;-1,706452320E2;3,747583676E2;7,800000000E2
1,303898889E1;-1,706221263E2;3,746603294E2;7,810000000E2
1,305566667E1;-1,705975454E2;3,746149662E2;7,820000000E2
1,307233333E1;-1,707174484E2;3,746312104E2;7,830000000E2
1,308897778E1;-1,706403672E2;3,746980840E2;7,840000000E2
1,310564444E1;-1,706034587E2;3,746297394E2;7,850000000E2
1,312231111E1;-1,706429229E2;3,745381606E2;7,860000000E2
1,313896667E1;-1,706477580E2;3,745708436E2;7,870000000E2
1,315564444E1;-1,706621501E2;3,745681146E2;7,880000000E2
1,317228889E1;-1,707389671E2;3,746125422E2;7,890000000E2
1,318895556E1;-1,706238656E2;3,744548291E2;7,900000000E2
1,320563333E1;-1,705954061E2;3,745092999E2;7,910000000E2
1,322228889E1;-1,706076712E2;3,744586273E2;7,920000000E2
1,323895556E1;-1,705979725E2;3,744511902E2;7,930000000E2
1,325561111E1;-1,707654550E2;3,745842241E2;7,940000000E2
1,327227778E1;-1,706938609E2;3,744390510E2;7,950000000E2
1,328893333E1;-1,706451285E2;3,743558507E2;7,960000000E2
1,330560000E1;-1,708086745E2;3,740956419E2;7,970000000E2
1,332226667E1;-1,710000000E2;3,750000000E2;7,980000000E2
1,333893333E1;-1,715000000E2;3,765000000E2;7,990000000E2
1,335558889E1;-1,715000000E2;3,780000000E2;8,000000000E2
1,337225556E1;-1,735000000E2;3,805000000E2;8,010000000E2
1,338891111E1;-1,730000000E2;3,805000000E2;8,020000000E2
1,340556667E1;-1,730168578E2;3,804974170E2;8,030000000E2
1,342224444E1;-1,730096965E2;3,805122723E2;8,040000000E2
1,343890000E1;-1,729874476E2;3,804920484E2;8,050000000E2
1,345556667E1;-1,729828400E2;3,804924181E2;8,060000000E2
1,347222222E1;-1,729064720E2;3,804595289E2;8,070000000E2
1,348887778E1;-1,729120642E2;3,804720775E2;8,080000000E2
1,350555556E1;-1,728870281E2;3,804842483E2;8,090000000E2
1,352221111E1;-1,728138493E2;3,804873471E2;8,100000000E2
1,353886667E1;-1,728118012E2;3,805020349E2;8,110000000E2
1,355554444E1;-1,728810395E2;3,804811030E2;8,120000000E2
1,357220000E1;-1,728317971E2;3,804829177E2;8,130000000E2
1,358886667E1;-1,729082496E2;3,804800008E2;8,140000000E2
1,360552222E1;-1,729292068E2;3,805141781E2;8,150000000E2
1,362218889E1;-1,729631083E2;3,805152769E2;8,160000000E2
1,363886667E1;-1,729735013E2;3,805266028E2;8,170000000E2
